GearRow,Path,Category,Bytes,Lines,SHA256,SemanticMethod,SemanticSynopsis,ReferenceCount,TerminalClasses,ReferenceStatuses,BrokenReferenceCount,SourceEvidence
23,.github/workflows/add-community-preset.lock.yml,workflow,110915,1727,2BEB8D14884D5ECBBE47BBE31BEF70D5005E924395815884B2799FEDF7425727,yaml_structure,"YAML; top-level keys=name,on,permissions,concurrency,run-name,jobs",50,external_dependency=50,terminal=50,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/workflows/add-community-preset.lock.yml#L1-L1727
24,.github/workflows/add-community-preset.md,workflow,11854,338,6ABE5FA34E6BDE323127E8A7DA5F01960BF16801B5449269BEC585BF752C2189,markdown_structure,Markdown; headings=24; lead=Add Community Preset from Issue Submission | Triggering Conditions | Step 1 — Read and Parse the Issue,2,generated_artifact=1;prose_example=1,resolved=1;terminal=1,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/workflows/add-community-preset.md#L1-L338
25,.github/workflows/bug-assess.lock.yml,workflow,102874,1623,92AF10840F3BB0DB49267575DA023E542D42DD4AB4B539D3E0152A3A765599F0,yaml_structure,"YAML; top-level keys=name,on,permissions,concurrency,run-name,jobs",46,external_dependency=46,terminal=46,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/workflows/bug-assess.lock.yml#L1-L1623
26,.github/workflows/bug-assess.md,workflow,9149,240,43AD4BD516DA3302CCF2C2F182E2AA19E4251556D541DD9144121268B148FC37,markdown_structure,Markdown; headings=21; lead=Assess Bug from Labeled Issue | Triggering Conditions | Step 1 — Ingest the Bug Report,1,generated_artifact=1,resolved=1,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/workflows/bug-assess.md#L1-L240
27,.github/workflows/bug-fix.lock.yml,workflow,110716,1733,8B05C2AF59B8D53E2AB07EE9BA3B53FBA61F031211C6C650F4E4F5FBF8BA6CB8,yaml_structure,"YAML; top-level keys=name,on,permissions,concurrency,run-name,jobs",50,external_dependency=50,terminal=50,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/workflows/bug-fix.lock.yml#L1-L1733
28,.github/workflows/bug-fix.md,workflow,13521,313,6EE96D3AA1873FCFFCFC56328A4785BB906F325E5FD089E13E1E781053C8094D,markdown_structure,Markdown; headings=13; lead=Fix Bug from Labeled Issue | Triggering Conditions | Step 1 — Locate the Prior Assessment,2,generated_artifact=1;prose_example=1,resolved=1;terminal=1,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/workflows/bug-fix.md#L1-L313
29,.github/workflows/bug-test.lock.yml,workflow,104272,1645,8567F04AB41523FB5B6BB284FA348A220FD221736743F36E99713036DBBD804A,yaml_structure,"YAML; top-level keys=name,on,permissions,concurrency,run-name,jobs",46,external_dependency=46,terminal=46,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/workflows/bug-test.lock.yml#L1-L1645
30,.github/workflows/bug-test.md,workflow,14631,345,F5559BEC862DA042CD6F18F3461306C96EBB6118AB1072EDB68579F057492263,markdown_structure,Markdown; headings=18; lead=Test a Bug Fix from a Labeled Issue | Triggering Conditions | Step 1 — Ingest the Issue and Prior Stages,1,generated_artifact=1,resolved=1,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/workflows/bug-test.md#L1-L345
31,.github/workflows/catalog-assign.yml,workflow,2255,62,4E4C2AAA8F53ACB47AB147980D472F80C133A75E84DE695337FF8F08651F4A5F,yaml_structure,"YAML; top-level keys=name,on,jobs",1,external_dependency=1,terminal=1,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/workflows/catalog-assign.yml#L1-L62
32,.github/workflows/codeql.yml,workflow,813,33,2E98813C6A51356258591B8D82BE69D4EB510835578413E4BD254BFD61C9F691,yaml_structure,"YAML; top-level keys=name,on,jobs",3,external_dependency=3,terminal=3,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/workflows/codeql.yml#L1-L33
33,.github/workflows/docs.yml,workflow,1949,70,A0F819BC20D30C809773DE3EF59348B93B6B984D207E724EAF55AF7CEEC83E84,yaml_structure,"YAML; top-level keys=name,on,permissions,concurrency,jobs",5,external_dependency=5,terminal=5,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/workflows/docs.yml#L1-L70
34,.github/workflows/lint.yml,workflow,2554,70,A8E2E8A992638ADF7582F02657A8BE3A67B088FB9EC3BED3017FD45B714F12FA,yaml_structure,"YAML; top-level keys=name,permissions,on,jobs",3,external_dependency=3,terminal=3,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/workflows/lint.yml#L1-L70
35,.github/workflows/publish-pypi.yml,workflow,2268,81,BF1AFFC8A027645FC744AFDDAE3AEF00EC25712C9282FCCBC56D8C937D316AD8,yaml_structure,"YAML; top-level keys=name,on,permissions,jobs",6,external_dependency=6,terminal=6,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/workflows/publish-pypi.yml#L1-L81
